composition,Mean VEC,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Cu1.68 Ni1.65 Si1.22 Ta1.6 W1.89,9.1,19.767,218.076,-19.865,13.302,1.781,84.4,-0.114,0.27,2417.655,6.047,7.838,0.161
Al1 Be1 Cr1 Fe1 Ni1 V1 W1,6.286,19.857,226.571,-11.02,16.178,1.496,92.757,-0.106,0.212,2012.924,4.821,7.461,0.133
Al1 Co1 Fe1 Ti1 Y1,5.4,39.2,134,-24.32,13.381,1.998,53.66,-0.075,0.157,1650.494,4.268,6.963,0.111
Co0.83 Fe0.37 Ni0.17 V0.98 Zr0.11,7.102,29.768,171.268,-15.51,11.155,1.011,67.073,-0.017,0.034,1953.126,4.839,7.36,0.044
Cu1.13 Mo0.93 Ni0.2 Re1.67 Ti0.72,8.873,12.202,290.237,-0.327,12.118,1.543,109.746,-0.138,0.276,2526.282,5.991,7.513,0.067
Al0.68 Co1.07 Fe1.66 Ni1.95 Sc1.31 V0.33,7.147,30.373,164.381,-23.187,13.872,1.718,62.751,-0.07,0.128,1714.159,4.112,7.334,0.084
C0.77 Co1.74 Cr1.94 Cu1.29 Fe1.39 Nb1.18,7.412,54.219,276.572,-21.27,14.573,1.312,84.913,-0.088,0.198,2146.075,4.892,7.754,0.127
Al1 Au1 Be1 Ta1 Ti1,4.6,27,147.4,-32.48,13.381,2.122,59.66,-0.174,0.435,1812.36,4.694,7.85,0.313
Al1.45 Co1.95 Cu0.39 Ta1.56 Ti1.22 Zr0.2,6.781,26.489,149.222,-27.593,13.336,1.951,54.822,-0.063,0.125,1958.151,5.119,7.242,0.059
Cr1 Fe1 Mo1 V1 W1,7,7.2,271.6,-1.92,13.381,1.138,107,-0.052,0.11,2553,5.882,7.276,0.164
Al1 C1 Ni1 V1 Zr1,5.2,51.2,308.4,-70.56,13.381,2.096,72.46,-0.198,0.512,2177.494,5.402,7.653,0.344
Cr1.47 Cu0.7 Fe1.37 Pd1.45 Ti1.03,7.658,13.555,180.254,-18.706,13.105,1.33,70.485,-0.08,0.173,1874.753,4.148,7.525,0.11
Al0.89 Fe1.75 Mn1.68 Mo1.2 Ti0.7,6.178,17.003,199.387,-10.058,12.902,1.619,64.39,-0.127,0.283,1830.524,4.335,7.226,0.106
Co0.46 Cr1.24 Cu1.33 Mo1.75 Ni1.36,8.194,8.976,238.233,4.26,12.805,1.133,90.342,-0.05,0.1,2074.983,4.84,7.346,0.061
Al1.01 Be1.02 Co0.67 Nb1.98 W1.83,6.037,26.103,224.808,-16.494,12.739,1.69,89.297,-0.184,0.397,2446.3,6.304,7.467,0.227
Al0.54 Cr1.45 Fe0.53 Nb1.4 Sc0.56 Ti1.8 Zr0.53,4.781,23.06,147.025,-10.91,15.049,1.991,57.348,-0.138,0.325,2072.303,5.088,6.781,0.031
Al1 Cr1 Fe1 Mn1 Ni1 Ti1 W1,6.857,17.143,212.143,-14.612,16.178,1.664,77.043,-0.15,0.336,1972.496,4.693,7.203,0.146
Ag1 Be1 Fe1 Hf1 Nb1 Ti1,6.333,33,157.667,-12.111,14.897,1.695,59.333,-0.155,0.388,1967.155,4.838,7.535,0.084
Co1.76 Fe0.83 Pd1.13 Si1.76 Ti1.7 V0.81 Zr0.18,6.412,29.737,145.143,-54.283,15.025,2.188,56.231,-0.034,0.071,1848.298,4.595,7.645,0.095
Ba0.72 Co1.35 Fe0.42 Nb0.77 Ni0.87 Pd0.45 V1.45,6.841,106.9,145.113,-4.885,15.405,1.17,55.907,-0.11,0.175,1903.193,4.625,7.147,0.228
Al0.73 Fe1.48 Pd0.91,7.413,11.08,151.76,-19.654,8.755,1.482,57.884,-0.087,0.169,1610.653,3.951,7.581,0.096
Co1 Cr1 Cu1 Fe1 Ti1,7.6,16.2,189,-5.76,13.381,1.406,72.86,-0.057,0.124,1811.554,4.222,7.421,0.039
Al1.75 Cu1.3 Fe1.97 Ni1.68 Zn1.54,8.567,8.296,146.783,-4.473,13.304,1.666,56.342,-0.073,0.148,1327.198,3.445,7.693,0.031
B1 Co1 Hf1 Mo1 Ni1 Ti1,6.667,44.833,241.333,-40.667,14.897,1.892,85.833,-0.135,0.302,2198,5.375,7.428,0.174
Cr1 Cu1 Fe1 Nb1 Ni1,8,15.6,185,-4.96,13.381,1.09,71.86,-0.066,0.143,1965.354,4.776,7.359,0.032
Al0.9 Co1.39 Ti0.96,5.862,17.44,143.037,-32.967,8.971,2.169,52.357,-0.077,0.156,1588.001,4.241,7.045,0.047
Co1 Cu1 Fe1 Ni1 Si1 Ti1 V1 W1,7.625,18.25,189,-23.188,17.288,1.765,73.788,-0.09,0.235,2021.346,5.036,7.592,0.103
Al1 C1 Mo1 Ni1 Ta1,6.4,49.4,367,-52.8,13.381,2.21,92.26,-0.131,0.281,2552.494,6.018,7.975,0.289
Ag1.97 C1.38 Co0.86 Ni0.17 Zn1.12 Zr1.52,7.999,58.791,297.734,-50.64,13.7,1.856,66.872,-0.222,0.631,1945.885,4.551,8.425,0.326
Al0.99 Co1.54 Cr0.98 Fe1.32 Mn1.37 Ti0.61,6.652,20.019,188.711,-14.233,14.568,1.489,64.21,-0.101,0.212,1679.709,3.923,7.265,0.038
Ag1.24 C0.86 Cu0.15 Mn1.17 Zr0.31,7.55,52.625,344.831,-38.519,11.673,1.733,64.832,-0.266,0.792,2021.123,4.279,8.309,0.326
C1 Cr1 Cu1 Fe1 Nb1 Sn1,6.333,56.667,304.167,-26.444,14.897,2.03,78.55,-0.192,0.43,2086.475,4.992,7.96,0.192
Co1.81 Cr1.06 Cu1.37 Fe0.81 Ni0.5,8.865,2.369,202.35,4.539,12.676,1.016,77.161,-0.037,0.081,1748.096,4.101,7.611,0.016
Cr1 Fe1 Mn1 Mo1 Ni1 Pd1,7.833,8.5,223,-8.556,14.897,1.088,78.667,-0.081,0.166,1993.675,4.408,7.53,0.114
Cr0.1 Mn1.22 Ni0.83 Re1.16 Sc1.49 V1.87 W1.11 Zr1.32,6.637,20.568,209.06,-13.272,16.279,1.582,76.465,-0.215,0.539,2331.136,5.508,7.155,0.209
Cr1.24 Cu1.04 Fe1.82 Mn0.3 Mo0.64 Ni1.25 V1.38,7.664,10.168,203.622,-0.884,15.34,1.042,78.622,-0.051,0.104,1941.718,4.514,7.359,0.05
Co1 Cu1 Hf1 Sc1 Zr1,7,21.8,130.2,-24.8,13.381,1.754,43.06,-0.07,0.164,1914.754,4.74,7.126,0.151
Ag0.65 Al1.83 Fe1.7 Nb1.7 Zr0.47,5.767,26.49,120.225,-15.21,12.389,1.716,45.219,-0.107,0.251,1773.987,4.926,6.917,0.049
Al1.4 Ni0.28 V0.76,4.426,10.328,102.984,-19.805,7.736,2.14,41.566,-0.071,0.199,1413.843,4.091,6.413,0.018
B1 Cu1 Fe1 Ni1 Ti1 Zr1,6.667,43.333,200.167,-35.778,14.897,1.785,75.55,-0.143,0.365,1885.795,4.887,7.505,0.12
Al1 Co1 Mn1 Ni1 Sc1 Zr1,6,26,140.833,-37,14.897,1.872,45.717,-0.096,0.216,1648.412,4.152,7.023,0.102
Ag1 Co1 Cr1 Mo1 Y1,7,35,192.8,9.28,13.381,1.244,76.2,-0.113,0.234,1975.586,4.544,7.108,0.202
Al1.33 Co0.25 Cr1.81 Mn1.93 Mo1.71 Ni0.12 Ti0.28,5.813,17.968,222.281,-7.667,13.673,1.523,74.841,-0.15,0.309,1919.783,4.331,6.931,0.114
Al0.84 Au0.46 Cr0.84 Fe1.82 Mo1.82 Nb1.24 Ni1.9,6.787,14.63,204.265,-13.819,15.382,1.35,77.385,-0.099,0.184,2072.918,5.161,7.304,0.123
Co1 Cr1 Cu1 Mn1 Ni1 Y1,7.667,43,180,-6.778,14.897,1.172,65.05,-0.079,0.176,1725.295,3.967,7.278,0.123
Cu1.86 Fe1.89 Mg0.13 Ni0.46 Sc1.32,7.845,26.673,147.724,-7.457,11.325,1.634,56.584,-0.076,0.151,1635.617,3.734,7.504,0.103
Al1 Pd1 Ti1 W1,6.75,17.75,179.5,-38.75,11.526,2.108,68.825,-0.227,0.609,2099.38,5.25,7.254,0.256
Co1.41 Cr1.11 Cu1.62 Fe0.85 Mo1.76 Ni1.07 Ti1.77,7.54,14.539,207.788,-6.376,15.916,1.464,78.389,-0.065,0.138,1984.683,4.731,7.363,0.081
Cu1 Fe1 Hf1 Mn1 Ti1,7.6,21.6,159.8,-10.72,13.381,1.578,47.86,-0.063,0.145,1826.954,4.312,7.343,0.094
Cr0.58 Ni1.03,8.559,2.559,228.46,-6.453,5.434,1.074,90.05,-0.019,0.043,1890.832,4.318,7.326,0.029
Al1 Co1 Cu1 Hf1 Si1 Ti1 V1,6.286,27.286,129.143,-38.204,16.178,2.179,46.8,-0.05,0.105,1768.034,4.579,7.163,0.088
Co0.72 Cr0.76 Fe1.03 Pd0.18 Ti1.81 V1.54,5.964,12.147,167.005,-16.432,13.554,1.584,66.424,-0.05,0.121,1986.617,4.692,7.153,0.046
Al1 Ta1 V1 W1,6.75,16.25,198.75,-11.5,11.526,1.728,78.325,-0.169,0.411,2525.368,6.418,7.122,0.233
Fe1.21 Nb1.84 Ni1.16,7.24,11.81,161.641,-23.124,8.94,1.198,61.116,-0.046,0.112,2198.525,5.762,7.33,0.037
Co1 N1,7,30,254.5,-75,5.763,2.94,57.5,-0.041,0.093,915.575,4.64,11.208,0.673
Ni0.69 Ti0.54,7.366,12.902,163.122,-34.479,5.701,1.981,61.951,-0.03,0.066,1821.512,4.62,7.284,0.067
Co1 Cr1 Cu1 Fe1 Ta1 Ti1,7.833,13.667,188.5,-8.778,14.897,1.433,72.217,-0.049,0.106,2057.962,4.868,7.499,0.051
Al0.8 Co0.95 Cu1.88 Ti0.14,8.538,21.172,136.655,-4.132,9.524,1.509,50.2,-0.053,0.111,1392.765,3.74,7.362,0.033
Al1 Be1 Co1 Cr1 Mn1 Ni1,6.167,16.167,207.167,-13,14.897,1.528,76.55,-0.122,0.25,1614.745,3.762,7.505,0.042
Al1.64 Co0.93 Cr1.15 Cu1.94 V1.68,6.802,8.759,149.49,-5.288,13.105,1.417,59.209,-0.094,0.226,1632.649,4.087,6.982,0.034
Ba1.85 Be1.42 Co0.77 Fe0.97 Mo1.04 Ta0.59,4.937,92.41,188.116,19.11,14.319,1.623,75.224,-0.208,0.422,1827.736,4.036,7.327,0.408
Al1 Co1 Cr1 Ni1 Re1,7.8,10.6,244.2,-11.36,13.381,1.504,94.06,-0.133,0.289,2013.694,4.838,7.231,0.034
Mo0.81 Ta1.09,7.721,4.016,246.963,-4.891,5.672,1.493,90.742,-0.033,0.077,3122.032,7.554,7.553,0.213
Co1 Fe1 Mo1 Ni1 Pd1 Ti1,7.833,13.667,197.667,-20.667,14.897,1.437,73.5,-0.057,0.123,1995.342,4.778,7.614,0.097
Co1 Cr1 Pd1 Re1 Ti1 Zr1,7.333,20.667,213.667,-35.556,14.897,1.472,81.5,-0.163,0.392,2217.342,5.277,7.388,0.157
Ag1 Al1 Cr1 Ni1 W1,8,14.2,208.6,6.08,13.381,1.506,81.66,-0.181,0.395,1954.28,4.75,7.167,0.142
Al0.61 Ba0.39 Mn1.34 Ni1.54,7.059,115.941,160.075,-11.242,10.44,1.5,46.89,-0.158,0.286,1457.731,3.442,7.065,0.177
Au1 Cu1 Fe1 Ni1 Ti1 V1,7.167,13.167,143.833,-14.222,14.897,1.357,55.717,-0.056,0.114,1726.35,4.362,7.678,0.206
Al1.21 Co0.41 Cr0.37 Cu1.71 Hf1.99 Ni0.45,7.943,23.417,142.098,-25.401,13.159,1.651,45.866,-0.096,0.271,1750.375,4.451,7.037,0.131
Cu1.72 N1.73 Ni0.46 Pd0.76 Ti1.09,7.661,48.806,182.812,-102.246,12.523,2.548,46.638,-0.016,0.039,1170.92,4.296,9.675,0.655
Al0.12 Cu1.15 Fe1.06 Mg1.25 Mn1.23 Si1.43 V1.35,5.938,17.065,132.696,-15.398,15.298,1.859,46.651,-0.081,0.169,1577.693,3.718,7.568,0.091
Au1 Fe1 Mo1 Nb1,6,12.75,180.75,-11.25,11.526,1.19,66.75,-0.137,0.307,2198.582,5.618,7.746,0.251
Al1 Co1 Cr1 Cu1 Si1 Ta1,7,20,163.5,-25.889,14.897,2.008,63.433,-0.088,0.195,1869.373,4.678,7.4,0.051
Co0.77 Ti1.1,6.059,12.941,154.294,-27.128,5.633,2.206,56.765,-0.031,0.072,1869.765,4.661,7.262,0.056
Mg1 Ni1 Ti1,5.333,14.667,120.333,-10.222,9.134,2.067,45.667,-0.123,0.279,1530.667,3.6,7.371,0.122
Al1.61 Cu1.73 Mo1.6 Ni1.79 Sn0.29,7.481,33.402,176.14,-1.749,12.471,1.713,65.408,-0.132,0.286,1670.231,4.447,7.146,0.07
Al0.93 Cr0.2 Fe0.52 Pd0.16 Ta1.8 Zr1.23,6.378,23.054,144.711,-27.12,12.612,1.723,54.118,-0.089,0.2,2288.797,6.075,7.175,0.074
Co1 Cr1 Li1 Mo1 Ni1,6.4,18.4,205.6,11.2,13.381,1.104,78.04,-0.163,0.282,1805.13,4.276,6.956,0.323
Al1.48 Fe1.38 Mg0.51 N1.55 Pd1.4,6.052,48.579,166.476,-78.164,12.919,2.498,44.993,-0.1,0.223,1108.955,3.904,9.156,0.682
Al1 Co1 Cr1 Nb1 Ni1 Ta1 Zr1,6.571,24.714,163.286,-29.388,16.178,1.5,61.757,-0.103,0.222,2111.067,5.499,7.08,0.071
Ag0.27 Fe1.85 Ni1.46,9.042,18.383,196.86,4.525,7.498,1.092,75.631,-0.02,0.031,1733.704,4.245,7.771,0.004
Cu0.68 Fe1.54 Mo0.93 Ni0.45 Si1.65 Ti1.41 Zr0.74,6.092,28.247,164.727,-41.169,15.445,2.29,63.369,-0.078,0.182,1929.484,4.948,7.493,0.111
Au1.02 Ba0.59 Cr1.73 Fe0.25 Mo1.48 Ni1.62 Ta1.44 Zn1.32,7.676,110.904,195.129,-2.108,16.418,1.372,74.792,-0.135,0.235,2001.651,4.615,7.705,0.307
C0.7 Co1.35 Cr0.91 Re0.19 Ta1.8 Zr1.77,6.812,64.86,276.814,-51.047,13.584,1.592,80.555,-0.114,0.293,2597.749,6.318,7.756,0.258
Al0.66 Co1.63 Ni0.17 Pd1.04 Ti0.51 V1.46 Zr0.32,6.8,27.171,142.112,-35.842,14.448,1.416,54.319,-0.05,0.095,1822.265,4.575,7.292,0.12
Al1 Cr1 Fe1 Hf1 Ni1 Ta1,7.333,25.5,181.667,-25.667,14.897,1.578,66.383,-0.104,0.213,2074.745,5.05,7.168,0.082
Ag1.06 Al0.13 Fe1.76 V0.74 W0.74,8.404,15.819,195.779,17.292,11.725,1.136,76.943,-0.131,0.314,2024.257,4.879,7.568,0.104
Cr0.69 Mn0.63 Nb1.91,5.604,11.449,160.31,-5.049,7.975,1.182,53.864,-0.121,0.35,2388.133,5.922,6.892,0.002
Cr1.0 Fe1.83 Ni1.69 Si1.58 Ti0.97,6.752,21.666,181.713,-38.556,13.103,2.105,72.198,-0.047,0.103,1833.477,4.449,7.587,0.035
Cu1 Fe1 Mn1 Si1 Ti1 V1,6.5,18.167,148.333,-26.111,14.897,1.925,52.217,-0.036,0.08,1749.795,4.247,7.464,0.049
Co1.01 Cu0.38 Mo0.41 Pd1.81 Y0.81 Zr0.52,7.761,34.103,144.759,-44.02,13.55,1.218,55.327,-0.071,0.184,1895.043,4.576,7.567,0.293
Al1 Cr1 Fe1 Nb1 Sn1,5.2,26,143,-6.24,13.381,2.054,55.86,-0.191,0.436,1635.91,4.49,6.952,0.04
Cr1.43 Mo1.58 Nb1.96 Ni0.17 W0.11,5.84,14.131,229.295,-7.75,10.605,1.229,87.459,-0.087,0.203,2625.389,6.326,6.915,0.132
Co0.88 Cr1.8 Cu1.71 Mo0.68 Ta0.73 Zr1.49,7.427,22.993,193.139,-8.523,14.275,1.177,73.626,-0.095,0.205,2104.709,5.143,7.243,0.131
Fe1 Mo1 Nb1 V1 Zn1,7.2,10.2,176.2,-3.04,13.381,1.34,68,-0.086,0.197,2066.536,5.066,7.58,0.087
Au1 Cr1 Fe1 Ti1,5.75,10.75,171,-16,11.526,1.5,67,-0.118,0.259,1817.332,4.258,7.681,0.301
Cu0.24 Fe1.92 Mo0.29 Ni1.66 Ta1.69 Ti1.09,8.115,12.637,189.334,-19.742,13.183,1.53,71.78,-0.025,0.053,2204.223,5.425,7.626,0.076
Al1 C1 Co1 Fe1 Zr1,5.6,49.8,326.8,-64,13.381,2.1,77.26,-0.182,0.442,2111.094,5.186,7.933,0.328
Al0.44 Fe0.61 Ni0.54 Si0.68 Ti0.42 Y0.43 Zr0.74,5.246,41.238,125.925,-53.236,15.985,2.291,50.55,-0.071,0.153,1751.095,4.773,7.143,0.134
Co1.58 Cr0.51 Fe1.0 Mn0.31 V0.46,7.707,7.111,208.231,-5.759,11.964,1.007,76.741,-0.034,0.066,1863.034,4.315,7.568,0.027
Co0.8 Cr1.03 Hf0.26 N1.64 Si0.58 Ti1.36,5.541,48.594,212.316,-128.102,13.818,2.985,59.78,-0.093,0.229,1416.781,4.692,9.33,0.811
Co1 Fe1 Mo1 N1 V1,6.6,52.8,235.4,-71.84,13.381,1.844,74.8,-0.059,0.13,1744.23,5.138,8.832,0.492
Cr1 Mo1 Nb1 Ni1 Y1 Zr1,5.667,32.167,178.5,-8.556,14.897,1.358,70.5,-0.121,0.261,2246.833,5.653,6.853,0.206
Al0.37 Cu0.33 Mo1.61 Nb1.85 Si0.48 Ta1.63,6.418,27.923,182.979,-17.485,13.121,1.731,67.656,-0.109,0.244,2666.024,6.827,7.252,0.14
Al1 Co1 Cr1 Mn1 Mo1 Nb1,6,15.5,198.333,-13.333,14.897,1.453,68.217,-0.145,0.311,2007.745,4.86,6.988,0.092
Fe0.98 Mn0.32 Mo1.67 Ni0.29 Ti0.44,6.692,12.705,250.976,-6.184,11.435,1.448,90.097,-0.069,0.117,2284.416,5.389,7.351,0.114
Fe1 V1,6.5,4,169.5,-7,5.763,0.975,69.5,-0.015,0.032,1997,4.795,7.324,0.02
Au0.22 Fe1.39 Hf0.46 Mn1.69 Ni1.0,7.926,29.044,191.452,-11.45,11.829,1.139,56.485,-0.081,0.17,1735.162,3.977,7.638,0.139
Co0.97 Mn0.86 Mo1.02 Si0.99 V1.87,5.986,17.322,184.567,-28.309,12.997,1.66,66.264,-0.075,0.175,2053.863,4.946,7.349,0.09
Al0.16 Fe0.35,6.431,5.49,166.765,-9.473,5.172,1.665,64.525,-0.082,0.16,1535.696,3.991,7.301,0.021
Al1.74 Au1.35 Co0.43 Cr0.31 Fe0.46 Ni0.86 Ta0.49,6.098,16.693,135.401,-19.928,14.668,1.696,50.887,-0.123,0.308,1559.736,4.236,7.523,0.283
Al1 Co1 Cu1 Nb1 V1,6.6,15.8,128.4,-12.8,13.381,1.452,48.92,-0.054,0.115,1798.448,4.824,7.02,0.037
B1 Cu1 Fe1 Ni1 Si1 Ti1 V1,6.429,37.143,191.714,-35.918,16.178,2.091,74.9,-0.113,0.302,1865.253,4.676,7.613,0.053
Al1.7 Cr1.25 Cu1.09 Hf0.34 Mo0.19 Ti1.27 V1.29,5.607,27.143,144.931,-12.755,14.903,1.855,56.594,-0.124,0.311,1749.69,4.347,6.746,0.05
Al1 Fe1 Re1 W1,8,12,288.75,-6.5,11.526,1.722,111.825,-0.148,0.3,2474.618,6.11,7.408,0.149
Mo0.68 W1.21,8.561,0,381.497,0,5.432,1.416,146.249,-0.009,0.018,3407.529,8.152,7.589,0.018
Al1 Ba1 Co1 Cr1 Cu1 Fe1 Mo1 Ni1,6.875,110.375,180.125,6.188,17.288,1.449,68.45,-0.168,0.302,1709.28,4.037,7.027,0.251
Cr1 N1 Nb1 Ni1 Si1,6,49.8,198.2,-97.28,13.381,2.554,63.2,-0.092,0.214,1681.63,5.126,8.77,0.549
Al0.2 Co1.71 Hf0.85 Mn1.65 Nb0.43 Ni0.32,7.692,26.343,180.163,-21.588,12.747,1.266,49.888,-0.081,0.169,1856.954,4.417,7.382,0.091
Co1.21 Mn0.52 Mo0.91 Ni1.34 Si1.32,7.296,15.14,200.845,-32.007,12.981,1.996,72.081,-0.061,0.133,1906.958,4.735,7.709,0.047
Co0.43 Pd1.13 Ta0.49 V0.31,8.953,12.246,151.449,-34.914,10.441,1.092,56.547,-0.022,0.053,2167.274,5.042,7.952,0.171
Co1 Cu1 Fe1 Pd1 Re1,9.8,8,226.8,4,13.381,1.088,85.46,-0.128,0.323,2044.764,4.79,7.945,0.035
Au0.45 C0.31 Cr0.51 Fe1.42 Ni1.42 Y1.15 Zr1.7,6.086,71.305,189.642,-39.202,14.945,1.43,64.815,-0.113,0.285,1959.638,4.985,7.412,0.323
Ag1.18 Co0.96 Cr0.91 Cu0.41 Mo1.85 Ni0.57 Zr0.78,7.734,22.959,210.471,4.123,15.354,1.175,78.515,-0.116,0.224,2056.664,4.97,7.281,0.129
Co1.56 Fe1.99 Li1.32 Mo1.93 Ta0.63,6.532,16.518,203.58,12.695,12.861,1.173,75.477,-0.15,0.251,1968.071,4.816,7.242,0.319
Al1.99 Co0.31 Cr1.75 Fe0.31 Mo1.29 Pd1.2 Ti0.29,5.972,17.396,190.616,-22.537,14.234,1.69,73.196,-0.14,0.302,1859.172,4.401,6.973,0.133
Nb1.19 Zn1.82,9.233,7.256,106.814,-0.956,5.579,1.755,41.023,-0.002,0.004,1506.039,3.809,8.352,0.001
Fe0.32 Ni0.53,9.247,1.247,204.141,-1.878,5.506,1.119,78.259,-0.001,0.001,1759.247,4.38,7.739,0.003
Au1 Co1 Cr1 Ni1 Ti1 V1,6.5,13.333,168.333,-18.778,14.897,1.34,65.667,-0.084,0.18,1856.222,4.482,7.515,0.22
B1 Co1 Cu1 Nb1 Pd1 Zr1,7,45.5,184.833,-45.333,14.897,1.463,68.05,-0.174,0.487,2030.137,5.267,7.606,0.164
Co1.4 Cu1.65 Hf0.49 Si0.31 Ta0.17,9.313,28.816,159.813,-17.241,10.981,1.399,56.143,-0.041,0.078,1747.694,4.395,7.71,0.083
Al1 Cr1 Mg1 Ni1 V1 Zr1,5,25.167,136,-15.222,14.897,1.582,54.05,-0.169,0.387,1679.245,4.208,6.903,0.085
Cr1.48 Fe1.07 N0.42 Sc1.0 Si0.82 V0.74,5.338,62.259,184.656,-59.106,14.365,2.24,69.523,-0.105,0.216,1808.943,4.285,7.742,0.324
Cr0.7 Cu0.63 Fe0.57 Ti1.64,6.285,10.52,166.02,-7.554,10.627,1.933,64.923,-0.073,0.189,1863.533,4.368,7.149,0.043
Al1 Fe1 Mo1 Nb1 Re1 Ti1 Zr1,5.857,21,198.286,-22.857,16.178,1.813,74.471,-0.203,0.493,2274.067,5.901,7.013,0.128
Al0.95 Co0.96 Cr1.35 Si0.53 V0.23 Zr1.56,5.215,26.64,157.093,-41.949,13.792,1.795,61.243,-0.138,0.315,1835.655,4.803,6.919,0.086
Co1 Mo1 Re1 Sc1 Si1,6.6,27.2,236.4,-35.84,13.381,2.366,89.8,-0.159,0.358,2324.8,5.402,7.515,0.137
Cr1 Mo1 Pd1 Zr1,6.5,18.5,205.75,-34.75,11.526,1.19,78,-0.122,0.259,2258.012,5.335,7.209,0.262
Al1.5 Au0.14 Co0.31 Cr1.34 Fe0.51 Ni1.82 Ta0.77 Zr0.85,6.718,29.366,172.555,-28.978,15.575,1.565,66.561,-0.107,0.22,1860.136,4.762,7.104,0.099
Co1 Cr1 Fe1 Mn1 Sn1,6.8,28.4,189.4,0.8,13.381,1.604,65,-0.138,0.284,1556.616,3.766,7.466,0.045
Mo0.99 Nb0.11,5.9,6.3,306.6,-2.16,2.703,1.383,111.8,-0.032,0.048,2881.4,6.895,7.065,0.056
Al1 Ba1 Cu1 Mo1 Nb1 Si1,5.167,103.833,125.667,-7.111,14.897,2.212,47.433,-0.229,0.563,1770.707,4.548,6.822,0.321
Co1 Cr1 Fe1 Ni1 V1,7.6,6.6,205.4,-8.96,13.381,1.012,81,-0.026,0.055,1934,4.504,7.387,0.027
Au1 Be1 Cu1 Ni1 Ti1 V1,6.167,25.333,156.5,-19.222,14.897,1.515,64.05,-0.115,0.278,1684.517,4.208,7.915,0.235
Al1 Cu1 Ni1 Pd1 Re1 Ti1,8.167,14.833,183.333,-25.111,14.897,1.76,69.433,-0.191,0.533,1874.548,4.655,7.4,0.095
Al0.64 Co1.61 Cr0.44 Sc0.3 Ta0.65,7.088,31.069,177.788,-23.784,11.932,1.664,66.41,-0.082,0.163,1946.649,4.744,7.306,0.065
Co1 Cr1 Fe1 Ni1 Sn1 Ti1,6.833,26.667,177.5,-11.778,14.897,1.86,68.333,-0.103,0.2,1655.513,4.2,7.394,0.044
Al1 Au1 Co1 Fe1 Nb1 Ni1 Pd1,7.143,14.286,142,-22.857,16.178,1.361,52.614,-0.089,0.183,1736.55,4.533,7.676,0.191
Al1 Co1 V1 Zr1,5.25,25.75,125.25,-34.5,11.526,1.608,47.825,-0.075,0.165,1753.118,4.898,6.812,0.076
Al1 Co1 Cr1 Fe1 Nb1 Ni1 Pd1 V1,7,16,165.375,-24.062,17.288,1.294,64.162,-0.083,0.174,1897.69,4.668,7.252,0.076
B1 Co1 Cr1 Ti1 V1 Zr1,5.167,44.833,212.667,-37.778,14.897,1.725,82.333,-0.14,0.328,2091.5,5.152,7.192,0.105
Cu1.27 Fe1.58,9.337,1.109,174.905,12.846,5.714,1.028,66.983,-0.029,0.063,1609.034,3.928,7.824,0.002
B0.53 Co1.49 Cr0.79 Fe1.87 Ni0.98 Ta0.44,7.944,38.574,236.513,-15.461,13.861,1.251,90.308,-0.037,0.095,1988.377,4.711,7.741,0.034
Al1.42 Cr1.65 Cu0.64 Hf0.46 Li0.96,5.037,26.497,140.302,1.7,12.553,1.603,53.77,-0.303,0.667,1438.551,3.529,6.418,0.171
Fe1 Ni1 Pd1 Re1 Ti1,8.6,12.4,222.2,-22.4,13.381,1.52,84.8,-0.134,0.337,2153.41,5.072,7.717,0.089
Ag1 Al1 Fe1 Mn1 Ni1,7.8,17,152.4,-1.6,13.381,1.456,49.86,-0.106,0.232,1445.28,3.59,7.308,0.049
Al0.61 Co0.88 Cu0.28 Ti0.66,6.366,17.436,139.745,-26.348,10.956,2.067,51.279,-0.07,0.143,1558.227,4.153,7.101,0.05
Al0.44 Si1.08,3.711,4.974,96.289,-15.632,5.002,4.083,41.008,-0.027,0.052,1468.873,4.262,7.524,0.035
Cr1.95 Mo0.89 Nb0.69 Ni0.34 Sc0.51 V0.15,5.777,25.371,228.311,-4.369,12.656,1.38,89.724,-0.096,0.165,2332.461,5.135,6.873,0.118
Cu1.21 Ni0.65,10.651,2.602,154.462,3.637,5.38,1.056,57.98,-0.022,0.052,1487.151,3.822,7.696,0
Cu1.0 Ti1.03,7.448,9.64,122.897,-8.998,5.762,2.03,46.118,-0.001,0.002,1653.695,4.18,7.27,0.065
Al1 Co1 Cr1 Cu1 Fe1 Pd1 V1,7.429,10.714,164,-13.469,16.178,1.267,63.943,-0.084,0.18,1723.041,4.117,7.335,0.074
Al0.95 Co1.18 Cu0.45 Fe0.69 Mn0.18 Mo1.24 Pd1.32 Zr0.62,7.288,26.962,177.799,-25.909,16.279,1.411,64.169,-0.118,0.256,1874.882,4.685,7.417,0.154
Cr0.71 Nb0.27,5.724,13.041,231.061,-5.589,4.894,1.03,93.786,-0.072,0.135,2337.041,5.056,6.765,0.001
Al1.7 Fe1.08 Nb1.48 Ni1.67 Ti1.7,5.851,14.662,135.45,-30.473,13.273,2.004,51.275,-0.079,0.172,1808.419,4.875,6.957,0.043
